Any,Ambit,Titularitat,Tipus,Edicio,NomDelFestival,DataInici,DataFi,Assistents_a_Barcelona,Assistents_fora_de_Barcelona,Espai,Organitzador,Notes_Dades
2019,"Multidisciplinaris i altres","Titularitat privada",Festivals,8,"Festival Mixtur",25/4/2019,5/5/2019,1562,,"Fabra i Coats: Fàbrica de Creació","Assoc. Col·lectiu Mixtur",
2019,"Arts escèniques","Titularitat privada",Festivals,10,"Festival Mutis. Festival de Teatre Independent de Barcelona",15/3/2019,24/3/2019,,,"Diversos espais de la ciutat","La Coquera Teatro",
2019,"Arts escèniques","Titularitat privada",Festivals,3,"Festival Oui! de Théâtre en français",5/2/2019,17/2/2019,,,"Diversos espais de la ciutat","Mise en Lumière",
2019,"Arts escèniques","Titularitat privada",Festivals,5,"Festival Pindoles",7/6/2019,9/6/2019,1200,,"Castell de Montjuïc ","Assoc. Isla Elefante Projectes Culturals",
2019,"Arts escèniques","Consorci o fundació amb presència administracions públiques",Festivals,7,"Festival Sâlmon d'Arts Vives de Barcelona",22/1/2019,10/2/2019,6026,,"Diversos espais de la ciutat","Mercat de les Flors i Graner",
2019,"Arts escèniques","Titularitat privada",Festivals,3,"Festival Sant Martí de Circ",6/7/2019,7/7/2019,3000,,"Carrer Alfons el Magnànim","Assoc. de Professionals del Circ de Catalunya",
2019,Música,"Titularitat privada",Festivals,7,"Festival Talent",19/6/2019,28/6/2019,1115,,"Diversos espais de la ciutat ","Taller de Músics",
2019,"Multidisciplinaris i altres","Ajuntament de Barcelona",Festivals,3,"Festival Tangent",26/6/2019,25/7/2019,4719,,"Diversos centres cívics de l'Eixample","Ajuntament de Barcelona",
2019,"Arts escèniques","Ajuntament de Barcelona",Festivals,16,"Fica't al SAT!",11/1/2019,3/5/2019,1127,,"SAT! sant Andreu Teatre","saT! Sant Andreu Teatre",
2019,"Arts visuals","Titularitat privada",Fires,5,"Fira d'Art Modern i Antic de Barcelona",6/3/2019,10/3/2019,,,,.,
2019,Lletres,"Titularitat privada",Fires,68,"Fira del Llibre d'Ocasió Antic i Modern",20/9/2019,6/10/2019,,,,"Gremi de Llibreters de Vell de Catalunya",
2019,Lletres,"Titularitat privada",Festivals,9,"Flic. Festival de literatures i arts infantil i juvenil",11/2/2019,30/11/2019,10386,3867,"Diversos espais de la ciutat","Assoc. Tantàgora Serveis Culturals",
2019,Audiovisuals,"Titularitat privada",Festivals,14,"Flux. Festival de Vídeo d'Autor",10/12/2019,31/12/2019,,,"Arts Santa Mònica","Habitual Video Team",
2019,Audiovisuals,"Consorci o fundació amb presència administracions públiques",Festivals,17,Gandules,6/8/2019,22/8/2019,4757,,CCCB,CCCB,
2019,Lletres,"Titularitat privada",Festivals,12,"GRAF. Còmic d'autor i edició independent",9/3/2019,10/3/2019,4000,,"Fabra i Coats: Fàbrica de Creació",GRAF,
2019,"Multidisciplinaris i altres","Ajuntament de Barcelona",Festivals,43,"Grec Festival de Barcelona",26/6/2019,31/7/2019,125140,,"Diversos espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona",
2019,Música,"Ajuntament de Barcelona",Festivals,16,"Guineueta Lliure i Tropical",20/7/2019,20/7/2019,200,,"Casal de Joves Guineueta","Casal de Joves de la Guineueta",
2019,Música,"Titularitat privada",Festivals,30,"Guitar Bcn",31/1/2019,10/7/2019,54815,,"Diversos espais de la ciutat ","The Project Music Company",
2019,"Arts escèniques","Titularitat privada",Festivals,3,"Hacer Historia(s)",18/11/2019,1/12/2019,2200,,"Diversos espais de la ciutat","La Poderosa",
2019,Música,"Titularitat privada",Festivals,4,"Hivernacle Pop Up Club Barcelona",26/10/2019,14/12/2019,16000,,"Poble Espanyol","Grup Centris",
2019,"Multidisciplinaris i altres","Titularitat privada",Festivals,9,"HOP Festival. Festival de Danses Urbanes",6/11/2019,22/12/2019,2160,,"Centres Cívics de Barcelona i Mercat de les Flors","Assoc. El Generador art i creació cultural",
2019,"Multidisciplinaris i altres","Titularitat privada",Festivals,6,"IDN. Imatge, Dansa i Nous Mitjans",26/2/2019,28/2/2019,,,"Mercat de les Flors","Assoc. NU2'S i Mercat de les Flors",
2019,Audiovisuals,"Titularitat privada",Festivals,12,"IndiFest Festival de Cinema Indígena de Barcelona",8/10/2019,13/10/2019,200,500,"Cinemes Girona","Alternativa Intercanvi amb Pobles Indígenes",
2019,"Multidisciplinaris i altres","Titularitat privada",Festivals,6,"INFLUX Festival. Vídeo a Escena",14/11/2019,17/11/2019,120,,"Antic Teatre ","Habitual Video Team",
2019,Música,"Titularitat privada",Fires,1,"Jazz I am",27/3/2019,29/3/2019,301,,"Fabra i Coats - Fàbrica de Creació","Taller de Músics",
2019,Música,"Titularitat privada",Festivals,6,"Jazzing Festival",5/9/2019,8/9/2019,25500,,"Fabra i Coats: Fàbrica de Creació","Assoc. Sant Andreu Jazz Band i Dte. de Sant Andreu",
2019,"Arts visuals","Titularitat privada",Fires,11,Joya,10/10/2019,12/10/2019,3500,,"Disseny Hub Barcelona","Le Departement Interiors SL",
2019,Lletres,"Consorci o fundació amb presència administracions públiques",Festivals,,Kosmòpolis,20/3/2019,24/3/2019,13340,,CCCB,CCCB,
2019,"Multidisciplinaris i altres","Titularitat privada",Festivals,2,"Kronos Art BCN",19/9/2019,29/9/2019,4527,,"Arts Santa Mònica","Asociación Ant cultura y arte i ANT comunicación visual.mdp",
2019,Audiovisuals,"Titularitat privada",Festivals,26,"L'Alternativa. Festival de Cinema Independent de Barcelona",11/11/2019,17/11/2019,18000,1280,CCCB,"La Fàbrica de Cinema Alternatiu de Barcelona",
2019,"Arts escèniques","Titularitat privada",Festivals,5,"L'Altre Festival",6/6/2019,9/6/2019,2836,,"Fabra i Coats: Fàbrica de Creació","Associació Socio Cultural L'Altre Festival",
2019,Música,"Ajuntament de Barcelona",Festivals,3,"L'Estiu, al Pati!",29/6/2019,21/7/2019,,,"Pati de la seu del districte de Nou Barris","Ajuntament de Barcelona",
2019,Audiovisuals,"Titularitat privada",Festivals,1,"La GRAN Pantalla",6/6/2019,9/6/2019,2000,,"Cinemes Girona",elParlante,
2019,Audiovisuals,"Titularitat privada",Festivals,7,"La mida no importa. Festival Internacional de Curtmetratges al Raval",24/1/2019,26/1/2019,780,,"Ateneu del Raval i Auditori Meier del MACBA ","Assoc. Slowcurt i Casal de Barri Folch i Torres",
2019,Música,"Titularitat privada",Festivals,9,"La Pedrera Jazz",7/6/2019,14/9/2019,6650,,"La Pedrera","Fundació Catalunya - La Pedrera",
2019,Audiovisuals,"Titularitat privada",Festivals,,"La Puttanesca",25/8/2019,15/9/2019,,,"Plaça Salvador Seguí","Assoc. Comerciants Fem Raval",
2019,Lletres,"Titularitat privada",Festivals,3,"La setmana de l'àlbum",2/11/2019,10/11/2019,2500,1000,"Diversos espais de la ciutat ","Assoc. ¡Àlbum!",
2019,"Multidisciplinaris i altres","Titularitat privada",Festivals,24,"La Setmana de la Ciència ",8/11/2019,17/11/2019,,,,"Fundació Recerca",
2019,Música,"Titularitat privada",Festivals,6,"Lapsus Festival",30/3/2019,14/12/2019,,,CCCB,"Lapsus Arts, SL",
2019,Música,"Altres administracions públiques",Festivals,5,"Les nits del Palau Güell",4/7/2019,22/8/2019,345,,"Palau Güell","Palau Güell",
2019,Música,"Titularitat privada",Festivals,7,"LIED Festival Victoria de los Ángeles",25/9/2019,17/12/2019,,,"Diversos espais de la ciutat","Fund. Victoria de los Ángeles",
2019,Lletres,"Titularitat privada",Fires,5,Literal,10/5/2019,12/5/2019,15000,,"Fabra i Coats, Fàbrica de Creació","Cultura 21 SCCL",
2019,"Multidisciplinaris i altres","Ajuntament de Barcelona",Festivals,8,"Llum BCN",15/2/2019,17/2/2019,190000,,"Diversos espais del Poblenou","Institut de Cultura. Ajuntament de Barcelona",
2019,"Arts visuals","Titularitat privada",Fires,17,"Loop Fair",19/11/2019,21/11/2019,,,,"Screen Projects S.L.",
2019,"Arts visuals","Titularitat privada",Festivals,17,"Loop Festival",12/11/2019,24/11/2019,110000,,"Diversos espais de la ciutat","Screen Projects S.L.",
2019,Audiovisuals,"Titularitat privada",Festivals,3,"Lychee Film Festival",11/9/2019,15/9/2019,,,"Diversos espais de la ciutat","Asociación de Cine de China y España",
2019,"Arts escèniques","Titularitat privada",Festivals,10,"Màgicus. Festival de Màgia Jove de Barcelona",5/10/2019,7/10/2019,500,,"Lluïsos de Gràcia i diversos espais de la ciutat","Lluïsos de Gràcia",
2019,Música,"Titularitat privada",Festivals,36,"Maig Coral del Barcelonès",5/5/2019,26/5/2019,1200,,"Església de Sant Pere de les Puel·les","Federació Catalana d'Entitats Corals",
2019,Lletres,"Titularitat privada",Fires,25,"Manga Barcelona",31/10/2019,3/11/2019,152523,,"Fira de Barcelona",Ficòmic,
2019,Audiovisuals,Mixta,Festivals,31,"Marató de Cinema Fantàstic i de Terror de Sants",12/11/2019,17/11/2019,2100,,"Centre Cívic Cotxeres de Sants","Aj. de BCN i Secretariat d'Entitats de Sants, Hostafrancs i la Bordeta",
2019,Música,"Ajuntament de Barcelona",Festivals,19,"Marrameu - Festival Jove de Nit d'Ànimes de la Guineueta",31/10/2019,31/10/2019,100,,"Casal de Joves Guineueta","Casal de Joves de la Guineueta",
2019,Música,"Titularitat privada",Festivals,17,"Mas i Mas Festival",29/7/2019,1/9/2019,16553,,"Diversos espais de la ciutat","Pelaimas, SL",
2019,Audiovisuals,"Titularitat privada",Festivals,11,"Mecal Air",29/6/2019,23/9/2019,6000,,"Jardins d'Elissava","Assoc.  Mecal",
